Sentence,Label
Chevron maintains prior guidance despite muted consumer demand,neutral
Consumer confidence weakens as supply chain disruptions,negative
Target lowers forecast due to missed revenue targets,negative
Nike cuts jobs after an unexpected drop in sales,negative
Manufacturing activity expands as a rebound in business investment,positive
consumer stocks slide following persistent inflation pressures,negative
Airbnb raises full-year guidance after improved credit conditions,positive
Markets remain steady ahead of mixed quarterly results,neutral
Hiring strengthens as improving labor conditions,positive
Markets fall on fears of credit market strain,negative
Costco announces leadership update amid evolving trade policy,neutral
Tesla announces an easing in supply chain bottlenecks and improved margins,positive
Target explores options related to upcoming inflation data,neutral
Markets remain steady ahead of the latest GDP report,neutral
Treasury yields little changed after evolving trade policy,neutral
Visa lowers forecast due to banking sector stress,negative
Markets fall on fears of weaker consumer demand,negative
Market rallies after cooling price pressures,positive
Small business confidence improves with strong consumer demand,positive
Alphabet cuts jobs after an unexpected drop in sales,negative
Markets remain steady ahead of election-year uncertainty,neutral
Bond market volatility jumps on softening ad revenue,negative
Housing data shows modest change amid uncertain rate policy,neutral
Oil prices trade flat as traders assess shifting global demand,neutral
Federal Reserve officials discuss changing energy prices,neutral
Housing data shows modest change amid upcoming inflation data,neutral
Market rallies after new AI-related revenue,positive
Tesla shares rise after revenue beats estimates,positive
Apple reports stronger-than-expected revenue,positive
housing shares mixed following a stable labor market,neutral
Exxon lowers forecast due to persistent inflation pressures,negative
Target shares rise after sales growth beats estimates,positive
Amazon cuts jobs after rising borrowing costs,negative
Intel announces leadership update amid new industry guidance,neutral
Small business confidence improves with an easing in supply chain bottlenecks,positive
consumer stocks slide following missed revenue targets,negative
Hiring strengthens as steady wage growth,positive
Currency markets remain stable as mixed quarterly results,neutral
Currency markets remain stable as moderate wage growth,neutral
Housing data shows modest change amid moderate wage growth,neutral
consumer stocks slide following weaker consumer demand,negative
Small business confidence improves with increased corporate guidance,positive
Bank of America raises full-year guidance after an easing in supply chain bottlenecks,positive
Disney holds annual meeting as investors watch shifting global demand,neutral
Goldman Sachs reports stronger-than-expected profit margins,positive
Inflation cools as strong holiday sales,positive
Small business confidence improves with new AI-related revenue,positive
Retail sales climb on a rebound in business investment,positive
Currency markets remain stable as ongoing negotiations with regulators,neutral
Bond market volatility jumps on banking sector stress,negative
housing stocks slide following weaker consumer demand,negative
Bond yields ease as increased corporate guidance,positive
Intel warns of losses tied to credit market strain,negative
Goldman Sachs holds annual meeting as investors watch evolving trade policy,neutral
Bond yields ease as steady wage growth,positive
Manufacturing activity expands as increased corporate guidance,positive
Alphabet raises full-year guidance after resilient household spending,positive
Mastercard lowers forecast due to lower household savings,negative
