Sentence,Label
New York joins states suing e-cigarette maker Juul,negative
Al Gore says millennials should see combating climate change as “the single biggest investment opportunity in histo…,neutral
These 2020 cars and trucks are the most likely to hold their value on the used market,neutral
Crunch talks lead to Emirates order for 30 Boeing Dreamliners,neutral
"500 - Heads Bulls Win, Tails Bears Lose. Read more:  #investing #markets #business",neutral
"World’s Largest Pension Fund Gains on Stocks, Foreign Debt",positive
Elon Musk Loses $5.9 Billion as Tesla Succumbs to the Laws of Gravity,negative
Ad Group Publicis Keeps Guidance in Sign That Worst May Be Over,positive
9 Energy Stocks Moving In Monday's Pre-Market Session,neutral
"L&T, IdeaForge Sign Pact For Unmanned Systems",neutral
The Best Company to Work for in Every State,neutral
"S&P flat, Dow down after disappointing retail results",negative
"Which way will the markets be headed next week before traders head home for Thanksgiving? On ,…",neutral
NVIDIA Corporation Just Beat EPS By 16%: Here's What Analysts Think Will Happen Next,positive
France's LVMH close to buying Tiffany after sweetening offer,neutral
Hedge Funds Love These 3 Peers Way More Than China Petroleum & Chemical Corp (SNP),neutral
What Kind Of Shareholders Own PEDEVCO Corp. (NYSEMKT:PED)?,neutral
The threat of a new transatlantic trade war over a tech tax is diminishing after 137 countries agreed to continue n…,neutral
"EUR/USD Mid-Session Technical Analysis for November 18, 2019",neutral
Hear it: Elon Musk drops surprise song dubbed 'Don't Doubt ur Vibe',neutral
Australia's Jetstar to cut capacity in January as pilots dispute drags on,neutral
BHP Plans to Become Largest Shareholder of Ecuador-Focused SolGold -Bloomberg #BHP #Stock #MarketScreener…,neutral
"Hedge Fund CIO: ""We Are Playing The Game Called Institutional Investor""",neutral
Nestle Passes on Dessert as Its CEO Skips Straight to Coffee,neutral
Source Capital declares $0.25 dividend,neutral
Just Eat advises shareholders not to accept Prosus offer,neutral
U.S. Department of Justice Sides With Global Music Rights,neutral
"Tiberius Acquisition : CFTC Approves One Final, Two Proposed Rules at December 10 Open Meeting #TiberiusAcquisition…",neutral
"Neste tops Q4 profit, dividend forecasts",positive
Market Volatility Bulletin: Stocks Get A Reprieve With Yet Another 5%+ Up Day.  #finance #economy #markets,positive
Luxury giant LVMH is reportedly nearing an agreement to add Tiffany & Co. to its portfolio. The acquisition deal wo…,neutral
- Kinross Gold (KGC) Presents At 23rd Annual Western Institutional Investor Conference - Slideshow....,neutral
- Cannabis Strategic Ventures reports Q2 results,neutral
Here Is The Main Reason For Today's Blockbuster Jobs Report,positive
Fed policymaker says more evidence needed for rate cut,neutral
Japan panel warns against fiscal complacency amid low rates #taux #MarketScreener,neutral
"Before Coke-Snorting Santa And An Ad Accused Of Weight-Shaming, Some Fails From Christmas Past",neutral
UPDATE 1-Alibaba to close books early in $13.4 bln Hong Kong listing after strong demand -sources,neutral
"At US$69.02, Is It Time To Put ExlService Holdings, Inc. (NASDAQ:EXLS) On Your Watch List?",neutral
Xoma readies rights offering,neutral
Trudeau's Finance Chief Says Coronavirus Will Take 'Real' Toll,neutral
"3M : Science, Technology & Sustainability Committee #3M #Stock #MarketScreener",neutral
Hero MotoCorp Q3 Results: Profit Beats Estimates Despite Lower Sales,neutral
The market bounced back after President Trump said the US and China are “potentially very close” on a trade deal. T…,positive
banking stocks slide following missed revenue targets,negative
Bilibili +2.6% on accelerating revenue growth,positive
WestRock +2% after BAML bump,positive
"Famur S A : TDJ Equity I Sp. z o.o. takes up controlling stake in Famur Famak S.A., subsid... #FamurSA #Stock…",neutral
Maybe not so pretty?  takes a look at  #StockoftheDay,neutral
my position remains intact. Buying dips.,positive
Is Finnair Oyj (HEL:FIA1S) Using Too Much Debt?,neutral
Bigger is Better in Payments: Worldline Not Done With Deals,neutral
EBay : Nears Deal to Sell StubHub to Viagogo for Roughly $4 Billion #eBay #Stock #MarketScreener…,neutral
Increased position on this name after RS. All bad news are priced in IMHO and plenty of room to the upside.,positive
"Exclusive: UK's Labour sticks to 'basic' $20 cyber defense after attacks, emails show",neutral
"VTEX, an e-commerce platform used by Walmart, raises $140M led by SoftBank's LatAm fund  via…",neutral
"Everyone can get what they want, this columnist says.",neutral
Respimat® re-usable inhaler wins 2020 Pharmapack Eco-Design Award,neutral
Eli Lilly : Reyvow Migraine Treatment Available for Prescription Use #EliLillyand #Stock #MarketScreenerâ€¦,neutral
"In this market, gaining 12.8% for the 12 months makes you the top stock-fund manager",neutral
"Nat gas prices plunge on milder weather, ample supplies",negative
". is the darling of the decentralized finance movement. Unlike its competitors, it's backed not by other g…",neutral
Hanesbrands trickles lower after operating profit miss,negative
Fed to establish facility to facilitate lending to small businesses via SBA's PPP by providing term financing backe…,neutral
Walker & Dunlop goes ex-dividend tomorrow,neutral
Investors Who Bought Supernus Pharmaceuticals (NASDAQ:SUPN) Shares Five Years Ago Are Now Up 148%,positive
Why Fiverr Stock Rose 11% in January,positive
"Highlight: '10 years ago... it was the big reveal at the Super Bowl to see the ads for the first time,â€...",neutral
"3 Top-Performing Mutual Funds to Consider for Your Retirement Portfolio- February 06, 2020",neutral
"At dinner, man in a wheelchair had to be over 100 yrs old, seemed pretty down / out of it, but soon as his daughter…",neutral
AURELIUS Equity Opportunities : files criminal complaint against the responsible managers ... #AURELIUS #Stock…,neutral
"- SeaChange EPS misses by $0.05, misses on revenue",negative
- Ford Presents A Safe 6.6% Return With A High Margin Of Safety. Read more:  #trading #economy #markets,positive
Our Take On The Brink's Company's (NYSE:BCO) CEO Salary,neutral
Nike gets into the medical footwear game,neutral
Students who stormed the field at a Harvard-Yale football game last month to protest the use of fossil fuels have n…,neutral
"Weekend Review, 11/24: Confirmed Uptrend

Both major indexes are down for the week, breaking 7 consecutive up weeks…",negative
- PennyMac's new servicing advance financing to enhance liquidity,neutral
Trump Warms to Doing China Trade Deal Soon Ahead of Key Meeting,positive
Kellogg -6% after profit outlook disappoints,negative
"Billionaire investor Howard Marks says we're not in a bubble, but sees reasons to take less risk",neutral
Asian Shares Jump as Hong Kong Pro-Democracy Candidates Score Major Victory,positive
"Honda raises profit forecast, sticks to Wuhan plant closure schedule",positive
Saudi Arabia is reviewing its plan for life after oil with Crown Prince Mohammed bin Salman said to be unsatisfied…,neutral
A certified fraud examiner lays out three big investing red flags #investinyou (In partnership with .),neutral
